"Year of initiation","Short case name","Applicable IIA","Arbitral rules","Administering institution","Summary","Details of investment","Outcome of original proceedings","Respondent State","hDIResp","Home State of investor","hDIClaim","Economic sector","Economic subsector","Arbitrators","amountClaimed","amountAwarded","Breaches alleged","Breaches found","Decisions","Individual opinions","Follow-on proceeding type","Follow-on proceeding status","Follow-on decisions","Follow-on individual opinions","ICSID annulment committee members","aPresidentC","aRespondentC","aClaimantC","damagesRatio"
2012,"Saint-Gobain v. Venezuela","France - Venezuela, Bolivarian Republic of BIT (2001)","ICSID","ICSID","Investment: Shareholding in a local proppant manufacturing company.                        Summary: Claims arising out of the Government's issuance of Decree no. 8.133 that expropriated Norpro de Venezuela, a local manufacturer of proppant (a type of material used in hydraulic fracturing of oil and gas wells) in which the claimant had invested.","Shareholding in a local proppant manufacturing company.","Decided in favour of investor","Venezuela (Bolivarian Republic of)",0.761,"France",0.901,"Secondary: C - Manufacturing","32 - Other manufacturing","Sachs, K. - PresidentBrower, C. N. - ClaimantBottini, G. - Respondent",115.1,29.6,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Direct expropriation","Decision on Liability and the Principles of Quantum dated 30 December 2016Award dated 3 November 2017","Concurring and Dissenting Opinion of Charles N. Brower","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","RamÃƒâ€¡ÃƒÂ°rez HernÃƒâ€¡Ã‚Â­ndez, R. - PresidentBoo, L. - MemberAdekoya, O. - Member","Sachs, K.","Bottini, G.","Brower, C. N.","0.257167680278019"
2013,"Stans Energy v. Kyrgyzstan (I)","CIS Investor Rights Convention (1997)","MCCI","MCCI","Investment: Indirect ownership by Stans Energy Corp. of Kutisay Mining LLC that held a licence for mining rare earth, bismuth, molybdenum and silver at the Ã†â€™??Kutessay IIÃ†â€™?Ã‚Â deposit.                        Summary: Claims arising out of a series of measures by the Government which allegedly resulted in the impossibility to carry out activities on the mineral deposit Ã†â€™??Kutessay IIÃ†â€™?Ã‚Â in accordance with the mining license previously granted to Kutisay Mining LLC.","Indirect ownership by Stans Energy Corp. of Kutisay Mining LLC that held a licence for mining rare earth, bismuth, molybdenum and silver at the Ã†â€™??Kutessay IIÃ†â€™?Ã‚Â deposit.","Decided in favour of investor","Kyrgyzstan",0.672,"Canada",0.926,"Primary: B - Mining and quarrying","7 - Mining of metal ores","Vilkova, N. - ClaimantBalayan, L. - RespondentPak, M. Z. - President",117.8,117.8,"Indirect expropriation","Indirect expropriation","Award dated 30 June 2014","None","Judicial review by national courts","Award/decision set aside in its entirety (Judicial review by national courts)","Judgment of the Moscow Arbitrazh Court on Application to Set Aside Award dated 25 May 2015 (Judicial review by national courts)","None","None","Pak, M. Z.","Balayan, L.","Vilkova, N.","1"
2007,"Impregilo v. Argentina (I)","Argentina - Italy BIT (1990)","ICSID","ICSID","Investment: Controlling interest in an Argentinean company that had a concession agreement for water distribution and sewerage treatment services.                        Summary: Claims arising out of Argentina's alleged interference with the tariff regime applicable to claimant's investment and other alleged breaches of obligations under the relevant concession agreement through the enactment of emergency measures during its 2001-2002 economic crisis.","Controlling interest in an Argentinean company that had a concession agreement for water distribution and sewerage treatment services.","Decided in favour of investor","Argentina",0.825,"Italy",0.88,"Tertiary: E - Water supply; sewerage, waste management and remediation activitiesTertiary: E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply37 - Sewerage","Danelius, H. - PresidentBrower, C. N. - ClaimantStern, B. - Respondent",119,21.29,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 21 June 2011","Concurring and Dissenting Opinion of Professor Brigitte Stern (Award)Concurring and Dissenting Opinion of Judge Charles N. Brower (Award)","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision of the ad hoc Committee on the Application for Annulment dated 24 January 2014 (ICSID annulment proceedings)","None","Oreamuno Blanco, R. - PresidentZuleta, E. - MemberCheng, T. - Member","Danelius, H.","Stern, B.","Brower, C. N.","0.17890756302521"
2014,"Olin v. Libya","Cyprus - Libya BIT (2004)","ICC","ICC","Investment: Investments in a dairy and juice factory in Tripoli.                        Summary: Claims arising out of the alleged expropriation of the claimantÃ†â€™??s dairy and juice factory.","Investments in a dairy and juice factory in Tripoli.","Decided in favour of investor","Libya",0.706,"Cyprus",0.869,"Secondary: C - Manufacturing","10 - Manufacture of food products","Comair-Obeid, N. - PresidentZiadÃƒâ€¡Ã‚Â¸, N. - ClaimantFadlallah, I. - Respondent",122.9,21.3,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresFull protection and security, or similarNational treatmentDirect expropriation","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresNational treatmentDirect expropriation","Final Award dated 25 May 2018Partial Award on Jurisdiction dated 28 June 2016","None","None","None","None","None","None","Comair-Obeid, N.","Fadlallah, I.","ZiadÃƒâ€¡Ã‚Â¸, N.","0.173311635475997"
2005,"Cargill v. Mexico","NAFTA (1992)","ICSID AF","ICSID","Investment: Ownership of local company engaged in the manufacture and production of certain fructose syrup used as soft drink sweetener.                        Summary: Claims arising out of Mexico's 2002 adoption of a tax on beverages containing high fructose corn syrup, that allegedly affected the claimants' investments in the high fructose corn syrup industry in Mexico.","Ownership of local company engaged in the manufacture and production of certain fructose syrup used as soft drink sweetener.","Decided in favour of investor","Mexico",0.774,"United States",0.924,"Secondary: C - Manufacturing","10 - Manufacture of food products","Pryles, M. C. - PresidentCaron, D. D. - ClaimantMcRae, D. M. - Respondent",123.8,77.3,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentMost-favoured nation treatmentPerformance requirements","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentPerformance requirements","Award dated 18 September 2009","None","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","Application to Set Aside an Arbitral Award (Ontario Superior Court of Justice) dated 26 August 2010 (Judicial review by national courts)Application to set aside award (Court of Appeal) dated 4 October 2011 (Judicial review by national courts)Dismissal of Application for Leave to Appeal (Supreme Court of Canada) dated 11 May 2012 (Judicial review by national courts)","None","None","Pryles, M. C.","McRae, D. M.","Caron, D. D.","0.624394184168013"
2008,"Intersema Bau v. Libya","Libya - Switzerland BIT (2003)","UNCITRAL","Data not available","Investment: Several construction contracts with a Libyan municipal authority.                        Summary: Claims arising out of the GovernmentÃ†â€™??s alleged failure to uphold the terms of a 2005 settlement agreement between the claimant and the Government related to construction contracts for road, water, sewage and lighting infrastructure, including the non-payment of CHF 13 million of the 31 million settlement sum.","Several construction contracts with a Libyan municipal authority.","Decided in favour of investor","Libya",0.706,"Switzerland",0.944,"Tertiary: F - Construction","42 - Civil engineering","Bernardini, P. - PresidentHeiskanen, V. - ClaimantPoncet, I. - Respondent",135.4,12.6,"Umbrella clauseFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clause","Award dated January 2010","None","None","None","None","None","None","Bernardini, P.","Poncet, I.","Heiskanen, V.","0.0930576070901034"
2010,"Guaracachi v. Bolivia","Bolivia, Plurinational State of - United Kingdom BIT (1988)Bolivia, Plurinational State of - United States of America BIT (1998)","UNCITRAL","PCA","Investment: Indirect controlling shareholding in Bolivian company that held a 30 year electricity generation license; associated licenses and permits; capital contributions for acquisition of energy generation assets including several gas turbines and gas engines.                        Summary: Claims arising out of the Government's nationalisation of Guaracachi America, Inc. and of Rurelec's controlling 50.001 per cent shareholding in the Bolivian electricity company Empresa ElÃƒâ€¡Ã‚Â¸ctrica Guaracachi, as well as the alleged failure by the claimants to obtain justice through the Bolivian court system and the subsequent seizure of assets owned by RurelecÃ†â€™??s subsidiary, EnergÃƒâ€¡ÃƒÂ°a para Sistemas Aislados Energais S.A.","Indirect controlling shareholding in Bolivian company that held a 30 year electricity generation license; associated licenses and permits; capital contributions for acquisition of energy generation assets including several gas turbines and gas engines.","Decided in favour of investor","Bolivia (Plurinational State of)",0.693,"United Kingdom",0.922,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","JÃƒâ€¡Ã‚Â§dice, J. M. - PresidentConthe, M. - ClaimantVinuesa, R. E. - Respondent",136.4,28.9,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measures","Direct expropriation","Award dated 31 January 2014","Dissenting Opinion of co-arbitrator Manuel Conthe (Award)","None","None","None","None","None","JÃƒâ€¡Ã‚Â§dice, J. M.","Vinuesa, R. E.","Conthe, M.","0.211876832844575"
2004,"SAUR v. Argentina","Argentina - France BIT (1991)","ICSID","ICSID","Investment: Indirect and minority shareholding in a formerly State-owned water and sewerage Argentinean company holding a concession agreement for related services.                        Summary: Claims arising out of the alleged failure of the government of the Argentine province of Mendoza to implement service tariff increases under an agreement between Saur's subsidiary and the federal government, in the wake of the State's 2001-2002 economic crisis.","Indirect and minority shareholding in a formerly State-owned water and sewerage Argentinean company holding a concession agreement for related services.","Decided in favour of investor","Argentina",0.825,"France",0.901,"Tertiary: E - Water supply; sewerage, waste management and remediation activitiesTertiary: E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply37 - Sewerage","FernÃƒâ€¡Ã‚Â­ndez-Armesto, J. - PresidentHanotiau, B. - ClaimantTomuschat, C. - Respondent",143.9,39.9,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Objections to Jurisdiction dated 27 February 2006Decision on Jurisdiction and Liability dated 6 June 2012Award dated 22 May 2014","None","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Annulment dated 19 December 2016 (ICSID annulment proceedings)","None","Zuleta, E. - PresidentCastellanos Howell, A. R. - MemberYusuf, A. A. - Member","FernÃƒâ€¡Ã‚Â­ndez-Armesto, J.","Tomuschat, C.","Hanotiau, B.","0.277275886031967"
2004,"Cargill v. Poland","Poland - United States of America BIT (1990)","UNCITRAL","None","Investment: Ownership and operation of isoglucose sweetener production facilities in Poland.                        Summary: Claims arising out of PolandÃ†â€™??s imposition of quotas on isoglucose (a wheat-derived sweetener which competes with sugar), which adversely affected CargillÃ†â€™??s investment in isoglucose-processing facilities.","Ownership and operation of isoglucose sweetener production facilities in Poland.","Decided in favour of investor","Poland",0.865,"United States",0.924,"Secondary: C - Manufacturing","10 - Manufacture of food products","Kaufmann-Kohler, G. - PresidentGaillard, E. - ClaimantHanotiau, B. - Respondent",150,16.3,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentArbitrary, unreasonable and/or discriminatory measures","Order taking note of the discontinuance of the proceeding issued by the Tribunal dated 4 April 2005, pursuant to Arbitration Rule 49(1) of the Additional Facility RulesFinal Award dated 29 February 2008","None","Data not available","Data not available","Data not available","Data not available","Data not available","Kaufmann-Kohler, G.","Hanotiau, B.","Gaillard, E.","0.108666666666667"
2015,"Aktau Petrol v. Kazakhstan","Kazakhstan - Turkey BIT (1992)The Energy Charter Treaty (1994)","ICSID","ICSID","Investment: Ownership of enterprise engaged in oil transportation.                        Summary: Claims arising out of a series of measures taken by the respondent's courts, which allegedly resulted in the unlawful transfer of claimant's assets to a third party, connected to the government.","Ownership of enterprise engaged in oil transportation.","Decided in favour of investor","Kazakhstan",0.8,"Turkey",0.791,"Tertiary: H - Transportation and storage","49 - Land transport and transport via pipelines","Binnie, I. - PresidentHanotiau, B. - ClaimantBethlehem, D. - Respondent",150,22.7,"Data not available","Data not available","Award dated 13 November 2017","None","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","Donoghue, J. E. - PresidentMalintoppi, L. - MemberOda, H. - Member","Binnie, I.","Bethlehem, D.","Hanotiau, B.","0.151333333333333"
2007,"HOCHTIEF v. Argentina","Argentina - Germany BIT (1991)","ICSID","ICSID","Investment: Minority shareholding in an Argentinean vehicle company, incorporated by the claimant and other members to a consortium that had a 25-year highway system construction concession.                        Summary: Claims arising out of Argentina's enactment of a 'pesification' law, among other measures during its 2001-2002 economic crisis, allegedly affecting the investor's interests in a consortium responsible for the construction, maintenance and operation of a toll road and several bridges between the cities of Rosario and Victoria over the ParanÃƒâ€¡Ã‚Â­ river in northern Argentina.","Minority shareholding in an Argentinean vehicle company, incorporated by the claimant and other members to a consortium that had a 25-year highway system construction concession.","Decided in favour of investor","Argentina",0.825,"Germany",0.936,"Tertiary: F - Construction","42 - Civil engineering","Lowe, V. - PresidentBrower, C. N. - ClaimantThomas, J. C. - Respondent",157.2,13.4,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 24 October 2011Decision on Liability dated 29 December 2014Award dated 21 December 2016","Separate and Dissenting Opinion of J. Christopher Thomas, Q.C. (Decision on Jurisdiction)","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","Kettani, A. - PresidentMourre, A. - MemberBastid Burdeau, G. - Member","Lowe, V.","Thomas, J. C.","Brower, C. N.","0.0852417302798982"
2006,"Vestey v. Venezuela","United Kingdom - Venezuela, Bolivarian Republic of BIT (1995)","ICSID","ICSID","Investment: Landholdings amounting to some 350,000 hectares in Venezuela for farming purposes.                        Summary: Claims arising out of declarations by Venezuela's Land Institute on the lack of validity of a number of Verney's farms, labelled as ""unproductive"" by State authorities, following the introduction of a new land law in 2001 which created a Land Institute to examine titles to landholdings and to assess whether lands were being used in a productive manner.","Landholdings amounting to some 350,000 hectares in Venezuela for farming purposes.","Decided in favour of investor","Venezuela (Bolivarian Republic of)",0.761,"United Kingdom",0.922,"Primary: A - Agriculture, forestry and fishing","1 - Crop and animal production, hunting and related service activities","Kaufmann-Kohler, G. - PresidentGrigera NaÃƒâ€¡ÃƒÂ¼n, H. A. - ClaimantDupuy, P.-M. - Respondent",157.4,98.1,"Direct expropriationFull protection and security, or similarFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Direct expropriation","Award dated 15 April 2016","None","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision on Annulment dated 26 April 2019 (ICSID annulment proceedings)","None","Donoghue, J. E. - PresidentGriffith, G. - MemberFathallah, R. - Member","Kaufmann-Kohler, G.","Dupuy, P.-M.","Grigera NaÃƒâ€¡ÃƒÂ¼n, H. A.","0.623252858958069"
2005,"Walter Bau v. Thailand","Germany - Thailand BIT (2002)","UNCITRAL","None","Investment: Shareholding in company that had concluded a concession agreement with the respondent to construct and operate a toll highway in Bangkok.                        Summary: Claims arising out of the failure of Thai authorities to approve toll hikes as contemplated in certain concession contract, which allegedly prevented the investor from making a reasonable rate of return on its investment.","Shareholding in company that had concluded a concession agreement with the respondent to construct and operate a toll highway in Bangkok.","Decided in favour of investor","Thailand",0.755,"Germany",0.936,"Tertiary: F - Construction","42 - Civil engineering","Barker, I. - PresidentLalonde, M. - ClaimantBunnag, J. - RespondentValaisathien, S. - Respondent (replaced)",162.8,41.1,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award on Jurisdiction dated 5 October 2007Award dated 1 July 2009","None","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","Judgment of the Swiss Federal Tribunal dated 23 July 2012 (Judicial review by national courts)","None","None","Barker, I.","Bunnag, J.","Lalonde, M.","0.252457002457002"
2002,"Occidental v. Ecuador (I)","Ecuador - United States of America BIT (1993)","UNCITRAL","LCIA","Investment: Rights under a participation contract for the exploration and exploitation of hydrocarbons.                        Summary: Claims arising out of resolutions issued by the Ecuadorian tax authority denying applications for VAT refunds by Occidental, and requiring the return of the amounts previously reimbursed in connection with a participation contract entered into by the claimant with Petroecuador, a State-owned corporation of Ecuador, to undertake oil exploration and production in Ecuador.","Rights under a participation contract for the exploration and exploitation of hydrocarbons.","Decided in favour of investor","Ecuador",0.752,"United States",0.924,"Primary: B - Mining and quarrying","6 - Extraction of crude petroleum and natural gas","Orrego VicuÃƒâ€¡ÃƒÂ±a, F. - PresidentBrower, C. N. - ClaimantBarrera Sweeney, P. - Respondent",201.5,71.5,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentArbitrary, unreasonable and/or discriminatory measures","Award dated 1 July 2004","None","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","Challenge to Arbitral Award, [2006] EWHC 345 (Comm), dated 2 March 2006 (Judicial review by national courts)Challenge to Arbitral Award (Appeal Court), [2007] EWCA Civ 656 dated 4 July 2007 (Judicial review by national courts)","None","None","Orrego VicuÃƒâ€¡ÃƒÂ±a, F.","Barrera Sweeney, P.","Brower, C. N.","0.354838709677419"
2002,"Sempra v. Argentina","Argentina - United States of America BIT (1991)","ICSID","ICSID","Investment: Equity interest in two Argentinean gas distribution companies.                        Summary: Claims arising out of Argentina's suspension of the licensee companies' tariff increases based on the US producer price index and the subsequent pesification of these tariffs.","Equity interest in two Argentinean gas distribution companies.","Decided in favour of investor","Argentina",0.825,"United States",0.924,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Orrego VicuÃƒâ€¡ÃƒÂ±a, F. - PresidentLalonde, M. - ClaimantMorelli Rico, S. - Respondent",209,128,"Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clause","Award dated 28 September 2007Decision on Objections to Jurisdiction dated 11 May 2005","Partial Dissenting Opinion of Mr. Marc Lalonde (Award)","ICSID annulment proceedingsICSID resubmission proceedings","Award/decision annulled in its entirety (ICSID annulment proceedings)Discontinued for unknown reasons (ICSID resubmission proceedings)","Decision on the Argentine RepublicÃ†â€™??s Application for Annulment of the Award dated 29 June 2010 (ICSID annulment proceedings)Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44 dated 3 April 2015 (ICSID resubmission proceedings)","None","SÃƒâ€¡ÃƒÂ´derlund, C. - PresidentEdward, D. A. O. - MemberJacovides, A. J. - Member","Orrego VicuÃƒâ€¡ÃƒÂ±a, F.","Morelli Rico, S.","Lalonde, M.","0.61244019138756"
2015,"KCI v. Gabon","OIC Investment Agreement (1981)","UNCITRAL","Data not available","Investment: Contracts with the government for construction of 5,000 residential units as part of the governmentÃ†â€™??s programme to guarantee a decent home for all.                        Summary: Claims arising out of alleged discontinuation of government funding for the construction of 5,000 residential units in GabonÃ†â€™??s capital, in alleged violation of the governmentÃ†â€™??s contractual obligations.","Contracts with the government for construction of 5,000 residential units as part of the governmentÃ†â€™??s programme to guarantee a decent home for all.","Decided in favour of investor","Gabon",0.702,"Tunisia",0.735,"Tertiary: F - Construction","41 - Construction of buildings","ZiadÃƒâ€¡Ã‚Â¸, N. - ClaimantMayer, P. - PresidentAudit, M. - Respondent",211.1,4.5,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsIndirect expropriation","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 2016Award dated 23 December 2016","None","Judicial review by national courts","Award/decision upheld (Judicial review by national courts)","Judgment of the Paris Court of Appeal dated 25 June 2019 (Judicial review by national courts)","None","None","Mayer, P.","Audit, M.","ZiadÃƒâ€¡Ã‚Â¸, N.","0.0213169114163903"
2015,"Everest and others v. Russia","Russian Federation - Ukraine BIT (1998)","UNCITRAL","PCA","Investment: Ownership of a large number of properties in Crimea, including offices, apartment buildings, and villas.                        Summary: Claims arising out of the alleged expropriation of properties following the 2014 Russian annexation of Crimea.","Ownership of a large number of properties in Crimea, including offices, apartment buildings, and villas.","Decided in favour of investor","Russian Federation",0.816,"Ukraine",0.751,"Tertiary: L - Real estate activities","68 - Real estate activities","Reisman, W. M. - ClaimantRigo Sureda, A. - PresidentKnieper, R. - Respondent",220,130,"Direct expropriation","Direct expropriation","Decision on Jurisdiction dated 20 March 2017Award on the Merits dated 2 May 2018","None","Judicial review by national courts","Pending (Judicial review by national courts)","None","None","None","Rigo Sureda, A.","Knieper, R.","Reisman, W. M.","0.590909090909091"
2002,"PSEG v. Turkey","Turkey - United States of America BIT (1985)","ICSID","ICSID","Investment: Rights under a concession agreement for the construction of a thermal power plant; assets of project company, including associated intangible property, licenses and permits.                        Summary: Claims arising out of several disagreements concerning a concession contract entered into with the government for the construction of an agnite-fired thermal power plant, as well as subsequent measures adopted by the respondent such as preventing the claimant from obtaining certain necessary treasury guarantee for the project.","Rights under a concession agreement for the construction of a thermal power plant; assets of project company, including associated intangible property, licenses and permits.","Decided in favour of investor","Turkey",0.791,"United States",0.924,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Orrego VicuÃƒâ€¡ÃƒÂ±a, F. - PresidentFortier, L. Y. - ClaimantKaufmann-Kohler, G. - Respondent",224,9,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 4 June 2004Award dated 19 January 2007","None","None","None","None","None","None","Orrego VicuÃƒâ€¡ÃƒÂ±a, F.","Kaufmann-Kohler, G.","Fortier, L. Y.","0.0401785714285714"
2003,"El Paso v. Argentina","Argentina - United States of America BIT (1991)","ICSID","ICSID","Investment: Indirect and non-controlling shareholding in four Argentine companies involved in the electricity and hydrocarbons industries.                        Summary: Claims arising out of a series of decrees and resolutions taken by Argentina in the course of an economic crisis (including restrictions on transfers, rescheduling of cash deposits and pesification of US dollar deposits) that allegedly affected the claimant's investment and frustrated the investor's ability to hedge against the risk of the devaluation of the pesos.","Indirect and non-controlling shareholding in four Argentine companies involved in the electricity and hydrocarbons industries.","Decided in favour of investor","Argentina",0.825,"United States",0.924,"Primary: B - Mining and quarryingTertiary: D - Electricity, gas, steam and air conditioning supply","6 - Extraction of crude petroleum and natural gas35 - Electricity, gas, steam and air conditioning supply","Caflisch, L. - PresidentBernardini, P. - ClaimantStern, B. - Respondent",228.2,43,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on Jurisdiction dated 27 April 2006Award dated 31 October 2011","None","ICSID annulment proceedings","Award/decision upheld (ICSID annulment proceedings)","Decision of the Ad Hoc Committee on the Application for Annulment of the Argentine Republic dated 22 September 2014 (ICSID annulment proceedings)","None","Oreamuno Blanco, R. - PresidentCheng, T. - MemberKnieper, R. - Member","Caflisch, L.","Stern, B.","Bernardini, P.","0.188431200701139"
2013,"Antin v. Spain","The Energy Charter Treaty (1994)","ICSID","ICSID","Investment: Direct and indirect shareholding in two solar thermo plants in AndalucÃƒâ€¡ÃƒÂ°a, Spain.                        Summary: Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generatorsÃ†â€™?? revenues and a reduction in subsidies for renewable energy producers.","Direct and indirect shareholding in two solar thermo plants in AndalucÃƒâ€¡ÃƒÂ°a, Spain.","Decided in favour of investor","Spain",0.891,"Luxembourg",0.904,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Zuleta, E. - PresidentOrrego VicuÃƒâ€¡ÃƒÂ±a, F. - Claimant (replaced)Reichert, K. - ClaimantThomas, J. C. - Respondent",229.6,115.3,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresUmbrella clause","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on the RespondentÃ†â€™??s request to address the objections to jurisdiction as a preliminary question dated 2 March 2015Award dated 15 June 2018Decision on the Rectification of the Award dated 29 January 2019","None","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","Bull, C. - PresidentMoreno RodrÃƒâ€¡ÃƒÂ°guez, J. A. - MemberComair-Obeid, N. - Member","Zuleta, E.","Thomas, J. C.","Reichert, K.","0.502177700348432"
2005,"Siag v. Egypt","Egypt - Italy BIT (1989)","ICSID","ICSID","Investment: Majority shareholding in two local companies that acquired a parcel of oceanfront land for the development of a tourist resort on the Gulf of Aqaba on the Red Sea.                        Summary: Claims arising out of a series of acts and omissions by the respondent that allegedly expropriated claimants' property of oceanfront land, including the issuance of a ministerial resolution cancelling the project's contract and the physical seizure of the property on two occasions.","Majority shareholding in two local companies that acquired a parcel of oceanfront land for the development of a tourist resort on the Gulf of Aqaba on the Red Sea.","Decided in favour of investor","Egypt",0.696,"Italy",0.88,"Tertiary: L - Real estate activities","68 - Real estate activities","Williams, D. A. R. - PresidentPryles, M. C. - ClaimantOrrego VicuÃƒâ€¡ÃƒÂ±a, F. - Respondent",230,74.55,"Direct expropriationFull protection and security, or similarFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsMost-favoured nation treatmentArbitrary, unreasonable and/or discriminatory measures","Direct expropriationFull protection and security, or similarFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Decision on Jurisdiction dated 11 April 2007Award dated 1 June 2009","Partial Dissenting Opinion of Professor Francisco Orrego VicuÃƒâ€¡ÃƒÂ±a (Decision on Jurisdiction)Dissenting Opinion of Professor Francisco Orrego VicuÃƒâ€¡ÃƒÂ±a (Award)","ICSID annulment proceedingsJudicial review by national courts","Discontinued (ICSID annulment proceedings)Award/decision upheld (Judicial review by national courts)","Order taking note of the discontinuance of the proceeding issued by the ad hoc Committee dated 26 July 2010, pursuant ICSID Arbitration Rule 45 (ICSID annulment proceedings)Decision of the Southern District of New York Court, 2009 WL 1834562 (Judicial review by national courts)","None","Schwebel, S. M. - PresidentKettani, A. - MemberTomka, P. - Member","Williams, D. A. R.","Orrego VicuÃƒâ€¡ÃƒÂ±a, F.","Pryles, M. C.","0.324130434782609"
2012,"Gavrilovic v. Croatia","Austria - Croatia BIT (1997)","ICSID","ICSID","Investment: Ownership and operation of a meat processing factory; ownership of related agricultural and grazing land in Croatia.                        Summary: Claims arising out of disagreements over claimants' title to agricultural and grazing land for the investor's meat processing business in Croatia that led to unsuccessful domestic litigation for Mr. Gavrilovic and his company and the alleged subsequent statutory expropriation of his lands and commercial properties.","Ownership and operation of a meat processing factory; ownership of related agricultural and grazing land in Croatia.","Decided in favour of investor","Croatia",0.831,"Austria",0.908,"Secondary: C - Manufacturing","10 - Manufacture of food products","Pryles, M. C. - PresidentAlexandrov, S. A. - ClaimantScherer, M. - Respondent (replaced)Thomas, J. C. - Respondent",231.8,3.2,"Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clauseNational treatment","Direct expropriation","Award dated 26 July 2018","None","None","None","None","None","None","Pryles, M. C.","Thomas, J. C.","Alexandrov, S. A.","0.0138050043140638"
